title,source,time,summary
25年缔造比亚迪神话、斥资百亿入渝办电池厂……王传福卸任是...,上游新闻,2020年5月20日,2019智博会开幕式暨大数据智能化高峰会在重庆举行，比亚迪股份有限公司董事长兼总裁王传福出席并演讲。王传福说，重庆不只是一个吃火锅的好地方，还是一个投资的好地方。重庆是山清水秀美丽之地，拥有西部地区最大的制造业基地，正在大力...
港股比亚迪股份跌幅扩大至逾5% 现跌5.33%,网易,昨天15:13,"比亚迪股份跌幅扩大至逾5%,现跌5.33%,自今年一月高位以来回调近50%。 12年赚25倍 从未减持 比亚迪是如何成为巴菲特“心头好”的? 巴菲特的和比亚迪的故事最早可以追溯到2003年。 当时,喜马拉雅资本创始人李录将比亚迪的创始人王传福介绍..."
"股票大幅缩水3000亿,新能源市场遭遇强敌,比亚迪要凉了吗",网易,4月13日,"传统汽车和新能源汽车齐头并进,比亚迪发展势头迅猛,2008年,股神巴菲特认购了比亚迪10%的股份,这也是巴菲特在中国唯一持股的公司。2009年,比亚迪股票猛涨,王传福一跃成为中国首富。 虽然山寨造车的路子很成功,但也给比亚迪带给了负面影响。"
比亚迪股份有限公司董事长 王传福:拥抱百年变革 聚焦市场痛点...,中国汽车报社有限公司,1月18日,"在1月16日下午举办的高层论坛上比亚迪股份有限公司董事长 王传福带来了主题演讲,以下为演讲实录: 演讲题目:《拥抱百年变革 聚焦市场痛点,加速电动车产业迈进“十四五”新发展阶段》 尊敬的清泰主任,苗部长,各位朋友,大家下午好!非常荣幸再次..."
比亚迪董事长王传福:电动车全面替代燃油车的时机已成熟,网易,1月16日,"每经AI快讯,1月16日,比亚迪股份有限公司董事长王传福在第七届中国电动汽车百人会线上论坛上发表演讲时表示,随着近年来电动车的电池、电机、电控等技术越来越成熟,在加速、噪音、能耗、维修便利性、智能化和全生命周期成本等方面已全面超越..."
"比亚迪女高管拟套现超2亿元,她是王传福的妻子?",手机凤凰网,1月27日,"据公开资料,李柯出生于1970年,1992年毕业于复旦大学,1996年加入比亚迪,历任市场部经理、销售总经理、比亚迪电子国际有限公司执行董事及行政总裁等职,现任比亚迪高级副总裁及比亚迪慈善基金会理事,与比亚迪董事长兼总裁王传福是夫妻关系。"
"王传福“神操作”:比亚迪两次融资踩在牛尾上,这一次呢?|公司观察",第一财经,1月27日,2020年12月31日，万家基金等多家基金公司旗下产品“抱团”比亚迪。总在市场大跌前再融资？比亚迪过去两次股市融资，王传福成功踩在市场大跌前公布相关计划，这一次呢？早在2008年3月，比亚迪就已经公布了计划回归A股，但直到2011年4月才...
"“姜还是老的辣”,自主汽车品牌领导者还得看比亚迪王传福",中华网,2020年11月30日,"虽然电池行业为比亚迪奠定了安身立命的根本,但真正做到光环笼罩,是在其进军汽车行业之后。比亚迪的造车之路,从2003年1月收购西安秦川汽车有限责任公司77%股份开始。以此为起点,比亚迪在比亚迪王传福的带领下踏上了发展自主品牌汽车的征程。"
王传福卸任比亚迪汽车有限公司法定代表人及董事长,环球网,2020年5月21日,【环球网综合报道】据媒体5月20日的报道，国家企业信用信息公示系统官网显示，比亚迪汽车有限公司发生多项工商变更，王传福卸任法定代表人并不再担任公司董事长。天眼查数据显示，5月18日，比亚迪汽车有限公司发生多项工商变更，王传福卸任公司...
"王传福卸任董事长?比亚迪官方回应:简化流程,业务不受影响",封面新闻,2020年5月21日,对于这次法人变更，封面新闻记者电话采访了比亚迪汽车公关部相关负责人，据介绍，本次涉及法人变更的“比亚迪汽车有限公司”是集团旗下众多子公司之一，集团母公司为比亚迪股份有限公司，作为A+H上市主体，其法人、董事长兼总裁依然是王传福...
25年缔造比亚迪神话、斥资百亿入渝办电池厂……王传福卸任是...,上游新闻,2020年5月20日,2019智博会开幕式暨大数据智能化高峰会在重庆举行，比亚迪股份有限公司董事长兼总裁王传福出席并演讲。王传福说，重庆不只是一个吃火锅的好地方，还是一个投资的好地方。重庆是山清水秀美丽之地，拥有西部地区最大的制造业基地，正在大力...
港股比亚迪股份跌幅扩大至逾5% 现跌5.33%,网易,昨天15:13,"比亚迪股份跌幅扩大至逾5%,现跌5.33%,自今年一月高位以来回调近50%。 12年赚25倍 从未减持 比亚迪是如何成为巴菲特“心头好”的? 巴菲特的和比亚迪的故事最早可以追溯到2003年。 当时,喜马拉雅资本创始人李录将比亚迪的创始人王传福介绍..."
"股票大幅缩水3000亿,新能源市场遭遇强敌,比亚迪要凉了吗",网易,4月13日,"传统汽车和新能源汽车齐头并进,比亚迪发展势头迅猛,2008年,股神巴菲特认购了比亚迪10%的股份,这也是巴菲特在中国唯一持股的公司。2009年,比亚迪股票猛涨,王传福一跃成为中国首富。 虽然山寨造车的路子很成功,但也给比亚迪带给了负面影响。"
比亚迪股份有限公司董事长 王传福:拥抱百年变革 聚焦市场痛点...,中国汽车报社有限公司,1月18日,"在1月16日下午举办的高层论坛上比亚迪股份有限公司董事长 王传福带来了主题演讲,以下为演讲实录: 演讲题目:《拥抱百年变革 聚焦市场痛点,加速电动车产业迈进“十四五”新发展阶段》 尊敬的清泰主任,苗部长,各位朋友,大家下午好!非常荣幸再次..."
比亚迪董事长王传福:电动车全面替代燃油车的时机已成熟,网易,1月16日,"每经AI快讯,1月16日,比亚迪股份有限公司董事长王传福在第七届中国电动汽车百人会线上论坛上发表演讲时表示,随着近年来电动车的电池、电机、电控等技术越来越成熟,在加速、噪音、能耗、维修便利性、智能化和全生命周期成本等方面已全面超越..."
"比亚迪女高管拟套现超2亿元,她是王传福的妻子?",手机凤凰网,1月27日,"据公开资料,李柯出生于1970年,1992年毕业于复旦大学,1996年加入比亚迪,历任市场部经理、销售总经理、比亚迪电子国际有限公司执行董事及行政总裁等职,现任比亚迪高级副总裁及比亚迪慈善基金会理事,与比亚迪董事长兼总裁王传福是夫妻关系。"
"王传福“神操作”:比亚迪两次融资踩在牛尾上,这一次呢?|公司观察",第一财经,1月27日,2020年12月31日，万家基金等多家基金公司旗下产品“抱团”比亚迪。总在市场大跌前再融资？比亚迪过去两次股市融资，王传福成功踩在市场大跌前公布相关计划，这一次呢？早在2008年3月，比亚迪就已经公布了计划回归A股，但直到2011年4月才...
"“姜还是老的辣”,自主汽车品牌领导者还得看比亚迪王传福",中华网,2020年11月30日,"虽然电池行业为比亚迪奠定了安身立命的根本,但真正做到光环笼罩,是在其进军汽车行业之后。比亚迪的造车之路,从2003年1月收购西安秦川汽车有限责任公司77%股份开始。以此为起点,比亚迪在比亚迪王传福的带领下踏上了发展自主品牌汽车的征程。"
王传福卸任比亚迪汽车有限公司法定代表人及董事长,环球网,2020年5月21日,【环球网综合报道】据媒体5月20日的报道，国家企业信用信息公示系统官网显示，比亚迪汽车有限公司发生多项工商变更，王传福卸任法定代表人并不再担任公司董事长。天眼查数据显示，5月18日，比亚迪汽车有限公司发生多项工商变更，王传福卸任公司...
"王传福卸任董事长?比亚迪官方回应:简化流程,业务不受影响",封面新闻,2020年5月21日,对于这次法人变更，封面新闻记者电话采访了比亚迪汽车公关部相关负责人，据介绍，本次涉及法人变更的“比亚迪汽车有限公司”是集团旗下众多子公司之一，集团母公司为比亚迪股份有限公司，作为A+H上市主体，其法人、董事长兼总裁依然是王传福...
25年缔造比亚迪神话、斥资百亿入渝办电池厂……王传福卸任是...,上游新闻,2020年5月20日,2019智博会开幕式暨大数据智能化高峰会在重庆举行，比亚迪股份有限公司董事长兼总裁王传福出席并演讲。王传福说，重庆不只是一个吃火锅的好地方，还是一个投资的好地方。重庆是山清水秀美丽之地，拥有西部地区最大的制造业基地，正在大力...
港股比亚迪股份跌幅扩大至逾5% 现跌5.33%,网易,昨天15:13,"比亚迪股份跌幅扩大至逾5%,现跌5.33%,自今年一月高位以来回调近50%。 12年赚25倍 从未减持 比亚迪是如何成为巴菲特“心头好”的? 巴菲特的和比亚迪的故事最早可以追溯到2003年。 当时,喜马拉雅资本创始人李录将比亚迪的创始人王传福介绍..."
"股票大幅缩水3000亿,新能源市场遭遇强敌,比亚迪要凉了吗",网易,4月13日,"传统汽车和新能源汽车齐头并进,比亚迪发展势头迅猛,2008年,股神巴菲特认购了比亚迪10%的股份,这也是巴菲特在中国唯一持股的公司。2009年,比亚迪股票猛涨,王传福一跃成为中国首富。 虽然山寨造车的路子很成功,但也给比亚迪带给了负面影响。"
比亚迪股份有限公司董事长 王传福:拥抱百年变革 聚焦市场痛点...,中国汽车报社有限公司,1月18日,"在1月16日下午举办的高层论坛上比亚迪股份有限公司董事长 王传福带来了主题演讲,以下为演讲实录: 演讲题目:《拥抱百年变革 聚焦市场痛点,加速电动车产业迈进“十四五”新发展阶段》 尊敬的清泰主任,苗部长,各位朋友,大家下午好!非常荣幸再次..."
比亚迪董事长王传福:电动车全面替代燃油车的时机已成熟,网易,1月16日,"每经AI快讯,1月16日,比亚迪股份有限公司董事长王传福在第七届中国电动汽车百人会线上论坛上发表演讲时表示,随着近年来电动车的电池、电机、电控等技术越来越成熟,在加速、噪音、能耗、维修便利性、智能化和全生命周期成本等方面已全面超越..."
"比亚迪女高管拟套现超2亿元,她是王传福的妻子?",手机凤凰网,1月27日,"据公开资料,李柯出生于1970年,1992年毕业于复旦大学,1996年加入比亚迪,历任市场部经理、销售总经理、比亚迪电子国际有限公司执行董事及行政总裁等职,现任比亚迪高级副总裁及比亚迪慈善基金会理事,与比亚迪董事长兼总裁王传福是夫妻关系。"
